Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,11.230000,11.280000,10.940000,11.040000,10.653630,6105400
2022-01-27,11.260000,11.300000,10.930000,11.050000,10.663280,8066200
2022-01-28,10.740000,10.820000,10.610000,10.810000,10.431679,5982100
2022-01-31,10.770000,10.890000,10.720000,10.890000,10.508880,3705300
2022-02-01,10.920000,11.150000,10.900000,11.130000,10.740479,2890700
2022-02-02,11.240000,11.350000,11.170000,11.310000,10.914181,3120100
2022-02-03,11.380000,11.430000,11.240000,11.260000,10.865930,5032300
2022-02-04,10.960000,11.240000,10.880000,11.190000,10.798379,5526300
2022-02-07,11.220000,11.380000,11.190000,11.340000,10.943130,3497500
2022-02-08,11.350000,11.450000,11.330000,11.450000,11.049280,4667600
2022-02-09,11.450000,11.530000,11.410000,11.420000,11.020330,3298800
2022-02-10,11.430000,11.630000,11.380000,11.400000,11.001031,3267800
2022-02-11,11.190000,11.430000,11.020000,11.070000,10.682580,8563400
2022-02-14,10.910000,10.950000,10.560000,10.680000,10.306229,17305800
2022-02-15,10.820000,10.930000,10.810000,10.870000,10.489579,5480200
2022-02-16,10.740000,10.870000,10.740000,10.780000,10.402729,3358200
2022-02-17,10.700000,10.730000,10.510000,10.540000,10.171128,8473500
2022-02-18,10.560000,10.650000,10.480000,10.490000,10.122878,3491700
2022-02-22,10.460000,10.600000,10.370000,10.470000,10.103579,5768800
2022-02-23,11.070000,11.190000,10.720000,10.740000,10.364128,5721600
2022-02-24,9.850000,9.950000,9.610000,9.940000,9.592126,10617300
2022-02-25,10.200000,10.390000,10.200000,10.350000,9.987778,6363000
2022-02-28,9.830000,9.980000,9.780000,9.900000,9.553526,9436400
2022-03-01,9.710000,9.740000,9.230000,9.310000,8.984176,9691900
2022-03-02,9.600000,9.660000,9.490000,9.630000,9.292976,6782100
2022-03-03,9.410000,9.430000,9.110000,9.130000,9.013585,6847200
2022-03-04,8.660000,8.660000,8.290000,8.380000,8.273148,12397200
2022-03-07,8.220000,8.310000,7.880000,7.940000,7.838758,12393300
2022-03-08,8.280000,8.560000,8.100000,8.280000,8.174422,15067300
2022-03-09,8.610000,8.750000,8.570000,8.660000,8.549578,8510500
2022-03-10,8.470000,8.590000,8.350000,8.450000,8.342255,7257800
2022-03-11,8.630000,8.690000,8.420000,8.420000,8.312637,5050400
2022-03-14,8.860000,9.050000,8.800000,8.870000,8.756900,10170200
2022-03-15,8.970000,9.030000,8.800000,8.940000,8.826007,9751500
2022-03-16,9.100000,9.340000,9.080000,9.320000,9.201161,7336600
2022-03-17,9.140000,9.270000,9.030000,9.250000,9.132054,8317300
2022-03-18,9.070000,9.210000,9.020000,9.210000,9.092565,7320800
2022-03-21,9.070000,9.120000,9.000000,9.050000,8.934605,6012400
2022-03-22,9.220000,9.370000,9.200000,9.300000,9.181417,9037700
2022-03-23,9.170000,9.220000,9.070000,9.100000,8.983968,4307700
2022-03-24,9.040000,9.110000,8.980000,9.070000,8.954350,3419600
2022-03-25,9.000000,9.060000,8.960000,9.050000,8.934605,6325000
2022-03-28,8.740000,8.750000,8.010000,8.090000,7.986845,38775300
2022-03-29,8.350000,8.420000,8.260000,8.380000,8.273148,17949000
2022-03-30,8.270000,8.280000,8.070000,8.090000,7.986845,14777200
2022-03-31,8.000000,8.050000,7.890000,7.900000,7.799268,23999900
2022-04-01,7.930000,7.950000,7.800000,7.950000,7.848630,24500500
2022-04-04,7.790000,7.900000,7.730000,7.830000,7.730161,18613400
2022-04-05,7.780000,7.890000,7.740000,7.750000,7.651181,9744400
2022-04-06,7.630000,7.740000,7.540000,7.660000,7.562328,12985400
2022-04-07,7.600000,7.650000,7.460000,7.610000,7.512966,13641300
2022-04-08,7.620000,7.720000,7.600000,7.670000,7.572201,8843800
2022-04-11,7.700000,7.810000,7.620000,7.640000,7.542583,9995500
2022-04-12,7.610000,7.670000,7.510000,7.540000,7.443859,8603700
2022-04-13,7.560000,7.730000,7.530000,7.720000,7.621563,7668300
2022-04-14,7.750000,7.790000,7.640000,7.660000,7.562328,10532700
2022-04-18,7.620000,7.780000,7.610000,7.730000,7.631436,4699600
2022-04-19,7.650000,7.790000,7.640000,7.790000,7.690671,9622400
2022-04-20,7.940000,7.990000,7.810000,7.850000,7.749906,7391900
2022-04-21,7.980000,8.030000,7.820000,7.820000,7.720288,7201600
2022-04-22,7.720000,7.740000,7.600000,7.630000,7.532711,10696300
2022-04-25,7.520000,7.660000,7.410000,7.640000,7.542583,11364600
2022-04-26,7.480000,7.550000,7.300000,7.310000,7.216791,16268000
2022-04-27,7.260000,7.330000,7.190000,7.280000,7.187174,13165400
2022-04-28,7.500000,7.580000,7.350000,7.550000,7.453731,6329700
2022-04-29,7.580000,7.640000,7.430000,7.450000,7.355006,9630800
2022-05-02,7.470000,7.520000,7.320000,7.480000,7.384624,7658800
2022-05-03,7.680000,7.770000,7.660000,7.750000,7.651181,8685800
2022-05-04,7.690000,7.920000,7.650000,7.910000,7.809141,11553300
2022-05-05,7.630000,7.670000,7.480000,7.580000,7.483348,12991500
2022-05-06,7.500000,7.560000,7.400000,7.500000,7.404368,10151000
2022-05-09,7.370000,7.450000,7.300000,7.360000,7.266154,9869800
2022-05-10,7.410000,7.420000,7.130000,7.250000,7.157556,10691500
2022-05-11,7.350000,7.470000,7.140000,7.150000,7.058831,7926200
2022-05-12,7.190000,7.340000,7.100000,7.240000,7.147684,15769500
2022-05-13,7.380000,7.520000,7.360000,7.500000,7.404368,5562300
2022-05-16,7.570000,7.690000,7.530000,7.630000,7.532711,8631900
2022-05-17,7.890000,7.970000,7.850000,7.960000,7.858503,6810200
2022-05-18,7.820000,7.880000,7.700000,7.730000,7.631436,5510100
2022-05-19,7.720000,7.880000,7.710000,7.840000,7.740033,8820900
2022-05-20,7.900000,7.910000,7.640000,7.790000,7.690671,5759300
2022-05-23,7.990000,8.260000,7.940000,8.100000,7.996718,9516000
2022-05-24,8.330000,8.390000,8.250000,8.370000,8.263275,9105300
2022-05-25,8.300000,8.490000,8.300000,8.420000,8.312637,5923800
2022-05-26,8.470000,8.680000,8.470000,8.620000,8.510087,4534500
2022-05-27,8.750000,8.790000,8.690000,8.740000,8.628557,4071100
2022-05-31,8.680000,8.730000,8.650000,8.680000,8.569323,4591700
2022-06-01,8.690000,8.700000,8.440000,8.540000,8.431108,4844700
2022-06-02,8.580000,8.580000,8.410000,8.520000,8.411363,3747200
2022-06-03,8.470000,8.490000,8.370000,8.420000,8.312637,2890500
2022-06-06,8.740000,8.780000,8.630000,8.650000,8.539704,6316700
2022-06-07,8.540000,8.670000,8.510000,8.670000,8.559450,4493000
2022-06-08,8.580000,8.620000,8.420000,8.490000,8.381745,7475700
2022-06-09,8.460000,8.490000,8.280000,8.280000,8.174422,7120500
2022-06-10,8.150000,8.150000,7.920000,7.960000,7.858503,10950900
2022-06-13,7.710000,7.780000,7.620000,7.680000,7.582073,9896900
2022-06-14,7.640000,7.720000,7.470000,7.570000,7.473476,8442400
2022-06-15,7.900000,8.060000,7.830000,7.990000,7.888120,7623500
2022-06-16,7.710000,7.780000,7.640000,7.700000,7.601818,7496900
2022-06-17,7.770000,7.860000,7.680000,7.770000,7.670926,5740900
2022-06-21,8.030000,8.060000,7.950000,7.980000,7.878248,4474100
2022-06-22,7.980000,8.140000,7.960000,8.040000,7.937483,5476900
2022-06-23,7.810000,7.820000,7.540000,7.660000,7.562328,6255000
2022-06-24,7.840000,7.970000,7.840000,7.940000,7.838758,5441800
2022-06-27,7.930000,7.970000,7.830000,7.920000,7.819013,6074500
2022-06-28,7.980000,8.070000,7.840000,7.850000,7.749906,5112400
2022-06-29,7.790000,7.800000,7.660000,7.720000,7.621563,5117000
2022-06-30,7.480000,7.630000,7.410000,7.600000,7.503093,5528700
2022-07-01,7.470000,7.620000,7.380000,7.600000,7.503093,5082000
2022-07-05,7.210000,7.310000,7.100000,7.310000,7.216791,13680200
2022-07-06,7.150000,7.190000,7.060000,7.150000,7.058831,8723200
2022-07-07,7.330000,7.410000,7.330000,7.360000,7.266154,5852200
2022-07-08,7.440000,7.450000,7.350000,7.420000,7.325388,4634500
2022-07-11,7.310000,7.350000,7.250000,7.270000,7.177301,7065000
2022-07-12,7.100000,7.370000,7.090000,7.250000,7.157556,5681800
2022-07-13,7.220000,7.270000,7.100000,7.230000,7.137811,6883200
2022-07-14,7.020000,7.040000,6.880000,6.960000,6.871254,13819300
2022-07-15,7.110000,7.280000,7.070000,7.250000,7.157556,9154500
2022-07-18,7.520000,7.590000,7.410000,7.430000,7.335261,7373100
2022-07-19,7.650000,7.750000,7.620000,7.730000,7.631436,7666800
2022-07-20,7.610000,7.700000,7.570000,7.650000,7.552456,8651700
2022-07-21,7.580000,7.730000,7.570000,7.730000,7.631436,5549800
2022-07-22,7.690000,7.750000,7.590000,7.620000,7.522838,4184700
2022-07-25,7.780000,7.900000,7.770000,7.870000,7.769650,4390700
2022-07-26,7.660000,7.710000,7.590000,7.610000,7.512966,5533600
2022-07-27,7.720000,7.890000,7.690000,7.890000,7.789395,6083200
2022-07-28,7.440000,7.520000,7.320000,7.480000,7.384624,7205300
2022-07-29,7.600000,7.800000,7.580000,7.790000,7.690671,8261900
2022-08-01,7.940000,8.020000,7.870000,8.000000,7.897993,8475200
2022-08-02,8.000000,8.020000,7.860000,7.860000,7.759778,5815700
2022-08-03,8.000000,8.120000,7.980000,8.070000,7.967100,4784300
2022-08-04,7.970000,8.020000,7.950000,8.000000,7.897993,4623400
2022-08-05,7.950000,8.120000,7.940000,8.090000,7.986845,6814600
2022-08-08,8.170000,8.220000,8.120000,8.130000,8.026336,3692000
2022-08-09,8.200000,8.240000,8.120000,8.160000,8.055953,3788600
2022-08-10,8.330000,8.520000,8.330000,8.470000,8.362000,7185100
2022-08-11,8.430000,8.490000,8.390000,8.450000,8.450000,7587600
2022-08-12,8.470000,8.570000,8.450000,8.570000,8.570000,5782400
2022-08-15,8.480000,8.540000,8.400000,8.520000,8.520000,4771000
2022-08-16,8.370000,8.450000,8.360000,8.440000,8.440000,5480500
2022-08-17,8.300000,8.350000,8.240000,8.290000,8.290000,6581700
2022-08-18,8.260000,8.260000,8.170000,8.210000,8.210000,4622600
2022-08-19,8.060000,8.060000,7.910000,7.940000,7.940000,6519800
2022-08-22,7.800000,7.830000,7.750000,7.790000,7.790000,6749000
2022-08-23,7.880000,7.940000,7.860000,7.860000,7.860000,5462500
2022-08-24,7.730000,7.870000,7.710000,7.810000,7.810000,5456100
2022-08-25,7.850000,7.970000,7.840000,7.970000,7.970000,5195400
2022-08-26,7.980000,8.000000,7.700000,7.700000,7.700000,5726800
2022-08-29,7.630000,7.750000,7.630000,7.700000,7.700000,4211200
2022-08-30,7.900000,7.920000,7.750000,7.800000,7.800000,4736200
2022-08-31,7.800000,7.860000,7.780000,7.790000,7.790000,4853600
2022-09-01,7.630000,7.650000,7.510000,7.610000,7.610000,5005500
2022-09-02,7.820000,7.990000,7.700000,7.720000,7.720000,9484300
2022-09-06,7.960000,7.980000,7.790000,7.830000,7.830000,7083100
2022-09-07,7.610000,7.730000,7.600000,7.710000,7.710000,5454100
2022-09-08,7.620000,7.840000,7.600000,7.840000,7.840000,5403100
2022-09-09,7.970000,8.030000,7.950000,8.010000,8.010000,5260200
2022-09-12,8.210000,8.350000,8.200000,8.250000,8.250000,5672400
2022-09-13,8.100000,8.210000,7.960000,7.970000,7.970000,6344200
2022-09-14,7.980000,8.040000,7.900000,7.940000,7.940000,8832100
2022-09-15,7.940000,8.130000,7.940000,8.020000,8.020000,14564300
2022-09-16,7.960000,7.990000,7.850000,7.920000,7.920000,7394600
2022-09-19,7.800000,7.970000,7.760000,7.960000,7.960000,5646200
2022-09-20,7.920000,7.960000,7.780000,7.830000,7.830000,5958200
2022-09-21,7.740000,7.750000,7.520000,7.530000,7.530000,8797100
2022-09-22,7.700000,7.720000,7.500000,7.530000,7.530000,8384400
2022-09-23,7.310000,7.310000,7.010000,7.080000,7.080000,19018000
2022-09-26,7.000000,7.110000,6.840000,6.900000,6.900000,15974700
2022-09-27,6.900000,6.920000,6.670000,6.720000,6.720000,16851500
2022-09-28,6.380000,6.680000,6.360000,6.660000,6.660000,17130500
2022-09-29,6.390000,6.490000,6.320000,6.480000,6.480000,16090300
2022-09-30,6.390000,6.520000,6.360000,6.400000,6.400000,11188900
